"Nama","Review",""
"Umam Said","Pesen 2 tiket penerbangan, dan sudah di refund, ternyata pengembaliannya dengan kupon tidak dengan uang, kemudian hanya 1 tiket, yang 1 penerbangan lagi tidak jelas refund nya, sudah 1 bulan lebih belum ada kejelasan, nominal lebih dari 1 jt.. Saya sarankan pake aplikasi yang lain. !!",""
"Fara Denata","Dipikir saya bodoh tidak tau perihal rule refund maskapai? Saya sangat paham refund saya proses per tgl 20 MARET 2020 masih berlaku kebijakan normal. BUKAN REFUND VOUCHER yg mulai berlaku di maskapai lion group utk proses per tgl 1 APRIL 2020. Dan kalian bilang akan kembali refund dalam bentuk vouch...Ulasan LengkapDipikir saya bodoh tidak tau perihal rule refund maskapai? Saya sangat paham refund saya proses per tgl 20 MARET 2020 masih berlaku kebijakan normal. BUKAN REFUND VOUCHER yg mulai berlaku di maskapai lion group utk proses per tgl 1 APRIL 2020. Dan kalian bilang akan kembali refund dalam bentuk voucher? Emg akal akalan kalian aja ya. GAK AKAN PERNAH LAGI PAKAI PEGIPEGI! SANGAT TIDAK REKOMENDED!! kinerja kalian yg lama tapi merugikan pelanggan. Payah!",""
"Narita Marchantya","Pengajuan refund tidak sesuai kesepakatan awal,, malah cm sekian persen yg kembali.. Sisa nya di ganti kupon.. Beda sekali dgn aplikasi ""traveloka"" Yg sesuai komitmen.. Tidak bisa bls bls di forum ini.. Chat dan email pun hanya muter2.. Ttp kupon tidak bisa di uangkan.. Pdhal saat booking awal tidak...Ulasan LengkapPengajuan refund tidak sesuai kesepakatan awal,, malah cm sekian persen yg kembali.. Sisa nya di ganti kupon.. Beda sekali dgn aplikasi ""traveloka"" Yg sesuai komitmen.. Tidak bisa bls bls di forum ini.. Chat dan email pun hanya muter2.. Ttp kupon tidak bisa di uangkan.. Pdhal saat booking awal tidak seperti ini.. Bukan kupon melainkan hanya potongan berapa persen itu wajar.. Bukan kupon yg kami mau..!!! Oke bye aplikasi pegi pegi..",""
"Rusdy Hasan","Uang refund saya tdk dikembaliin sdh sebulan lebih , lama banget",""
"Firmansyah Acut","Siap siap kecewa, uang hangus , ga jadi berangkat. Ga kan pernah lagi pakai aplikasi ini. Jangan jangan , kecewa banget.",""
"Mutiara Febri Nasrida","Sangat kecewa,,, saya sudah mengajukan refund jauh sebelum waktu penerbangan tetapi tidak ada informasi lanjutan... dan waktunya lama banget untuk proses refundnya,, bikin costumer jadi was-was juga... CSnya sih cepat tanggap tapi proses refundnya lamaa banget... tolong diperbaiki pelayanannya",""
"Lana Setra","Aplikasi gak jelas, kelihatan paling murah ditulisnya, tapi kenyataannya banyak perubahan harga dan pasti lebih mahal dr apl sebelah",""
"Ryan Putra Meillyanto","Parah refund disuruh nunggu sampai 3 bulan habis itu di suruh nunggu 30-45 hari lagi. Saya bayar cash tapi pas refung di persulit kaya gini. .gak ada guna pelayanan kaya gini",""
"Ismi Lawati","Parah kapok banget beli tiket melalui aplikasi ini.. Saya refund sudah lewat daro satu bulan tapi blm dikembalikan. Padahal Saya telpon pihak maskapainya bilang dana sudah di topup ke pegi2 dari sebulan sblmnya tapi saya konfirmasi lg gak ada penjelasan. ..ditunggu2 keadaan lg butuh2nya dana dikemba...Ulasan LengkapParah kapok banget beli tiket melalui aplikasi ini.. Saya refund sudah lewat daro satu bulan tapi blm dikembalikan. Padahal Saya telpon pihak maskapainya bilang dana sudah di topup ke pegi2 dari sebulan sblmnya tapi saya konfirmasi lg gak ada penjelasan. ..ditunggu2 keadaan lg butuh2nya dana dikembalikan dong jangan ditahan tahan ...jangan sampai pesan disini ya..",""
"Ummu Hurairah","Sorry to say, tp ini baru aja aku alamin, pembatalan booking hotel berhasil dilakukan tp pengembalian dana harus selama 7-10hari itupun diluar dari hari sabtu dan minggu. 3-4hari mngkin msh bsa dimaklumi. Tp klo seminggu sampe lebih seminggu gmna cara kerjanya? Emang satu org aja yg kerja gitu ..tol...Ulasan LengkapSorry to say, tp ini baru aja aku alamin, pembatalan booking hotel berhasil dilakukan tp pengembalian dana harus selama 7-10hari itupun diluar dari hari sabtu dan minggu. 3-4hari mngkin msh bsa dimaklumi. Tp klo seminggu sampe lebih seminggu gmna cara kerjanya? Emang satu org aja yg kerja gitu ..tolong perbaiki sistemnya yg kek gini. Klo org butuh uang secepatnya itu gimana dong.msa iya ditunggu smpe hampir 2 pekan.",""
