"Nama","Review",""
"Christian Channel","uang refund pembatalan sewa mobil ga balik udah 30hari lebih, nominal uang sekitar 1jtan alesannya banyak bnget hubungi cs juga suruh tunggu doang tpi ga ada pemberitahuan selanjutnya, malahan kya org ngemis2 padahal uang kita sendiri.",""
"ika yuni","Saya kesusahan untuk login dari akun saya lewat aplikasi. Saya input nomor telepon, email, bahkan fb, tetap tidak bisa masuk. Tolong diperbaiki sistemnya",""
"Benny Setiawan","Payah..... mau aktifin paylater susah banget udah ikutin instruksi ini itu tetep ga bisa,foto sudah lebih dari 10x masih ga jelas juga. Jadi dihapus aja aplikasinya.",""
"Shanjaya Trans Java","Tiket untuk bus sudiro tungga jaya dan bus haryanto tidak ada Mohon untuk ditambahkan agar lebih banyak lagi bus yang bisa untuk dipesan lewat traveloka...terima kasih",""
"bhalee boenk","Ahh payah mau registrasi paylater selalu gagal di foto KTP. Masa iya selalu aja gagal karna foto buram...padahal udh jelas2 fotonya sudah focus..",""
"Dwi santoso","pengajuan paylater cepat mudah gak ribet di Acc. Tp gk lama krna jarang mengunakan paylater tiba tiba diblock. Padahal pembayaran selalu diawal. Turun bintang lah",""
"Nastuti Larasmita","Pelayanan aplikasi yang amat sangat buruk tidak bisa membantu mempermudah perjalanan tapi malah mempersulit. Saya beli tiket untuk penerbangan tanggal 17 tapi etiket yang keluar malah tanggal 15 dan ketika saya mau ganti tanggal penerbangan yang sesuai pesanan saya tapi saya harus bayar lagi seperti...Ulasan LengkapPelayanan aplikasi yang amat sangat buruk tidak bisa membantu mempermudah perjalanan tapi malah mempersulit. Saya beli tiket untuk penerbangan tanggal 17 tapi etiket yang keluar malah tanggal 15 dan ketika saya mau ganti tanggal penerbangan yang sesuai pesanan saya tapi saya harus bayar lagi seperti beli baru. Kenapa saya yang mesti rugi yang jelas-jelas kesalahan dari pihak traveloka. Kenapa traveloka terkesan seperti ingin menipu dan merugikan pelanggan.",""
"Deden Hermawan","Traveloka, tolong dong adakan fitur titik pemberhentian utk kereta. Jdi saya tau pemberhentian mana sja yg dilalui kereta dan sya gak perlu ke stasiun utama untuk memulai perjalanan, cukup dari stasiun dekat rumah. Terima kasih",""
"Olivia Zhang","Versi ny update terus. tapi diskon nya untuk versi 3.11.0 dan 2.11.0. mana bisa di pakai. sengaja nih traveloka, tidak mau rugi.",""
"Iyang Gunawan","Sering pakai traveloka buat hotel,xperience,eat.enak byk diskon sdh byk saya dptkan.saya cuman kecewa top up saldo uang ku 100k mmg susah gak masuk2..telpon cs bilang bukan produk traveloka layanan uang q dr pt smartfren,tlpon&datangi smartfren sgt ribet berbelit2 terus2an minta bukti trsfr kirim em...Ulasan LengkapSering pakai traveloka buat hotel,xperience,eat.enak byk diskon sdh byk saya dptkan.saya cuman kecewa top up saldo uang ku 100k mmg susah gak masuk2..telpon cs bilang bukan produk traveloka layanan uang q dr pt smartfren,tlpon&datangi smartfren sgt ribet berbelit2 terus2an minta bukti trsfr kirim email bolak balik.gpp saya ikhlaskan uangku sy top up gak masuk. *yg sy sebel bbrp x sy ajukan pay later sllu di TOLAK ,tanpa alasan jelas.sy jd heran knp do tolak.data sy belnja di traveloka sering .",""
"satria ipo","Assalamualaikum pihak di poloper gak bisa bayar tiket lewat dompet dana tolong bantuannya...? Karena aku mau pulang kampung nih",""
"Fuadi Maulana","Saya daftar paylater k' tdk di acc,malah saya di suruh daftar satu bulan lg,untuk alasan tdk di acc karena tidak sesuai dengan profil saya,padahal saya pakai trevoloka sudah lama,knp alasan nya tidak tepat!!!!",""
"muhammad rizkiyanto","Sistem error? Sangat buruk pelayanan sudah boking hotel dan transfer uang, eh hotelnya sudah enggak di sewain lagi, udah tak telefon 4x minta di refund eh malah bnyak alasan duitnya gk dikembaliin, ya gk seberapa sih cuma Rp 344.246,00 paling ditagih di akhirat kelak??",""
"fauzi ahmad","Tolong stasiun Cirebon di tulis keterangan stasiun mana, saya pesan tulisan nya hanya stasiun Cirebon . Di Cirebon ada 2 stasiun, tolong",""
"Efendy hutauruk","Kecewa baget, malam aktifkan pay later besok paginya pay laternya langsung keblokir, alasan demi keamanan,. Klau gk bisa di pakai pay later jgn di iklan kn",""
"Desvita Joji","Traveloka semakin aneh...pembayaran selalu sblm jatuh tempo,gak pernah telat sama sekali,selalu ontime...tau2 paylater di blokir tapi limit di NaikKan...trs buat apa coba limit Dinaikkan???Traveloka Semakin ga jelas!",""
"Angga Sumanjaya","Pesan tiket kereta api dari jam 3 sore tadi sampai sekarang e tiket kagak terbit terbit.. Saya kirim pesan ke traveloka nya balasannya kostumer servis kami akan membalas dalam waktu 30 menit.. 60 menit.. Bohong besar.. No respon.. Satu kata KECEWA....",""
"RIZKI ISMAIL","Sangat Kecewa, Untuk Harga Penerbangan Domestik Harga Tiket Pesawat Terlampau Sangat Tinggi, Mungkin Ini Apkikasi Dibuat Untuk Kalangan Menengah Keatas Saja, Mungkin Untuk Kalangan Menengah Keatas Untuk Harga Tidak Ada Masalah, Tapi Coba Perhatikan Untuk Kalangan Menengah Kebawah, Untuk Pihak Maskap...Ulasan LengkapSangat Kecewa, Untuk Harga Penerbangan Domestik Harga Tiket Pesawat Terlampau Sangat Tinggi, Mungkin Ini Apkikasi Dibuat Untuk Kalangan Menengah Keatas Saja, Mungkin Untuk Kalangan Menengah Keatas Untuk Harga Tidak Ada Masalah, Tapi Coba Perhatikan Untuk Kalangan Menengah Kebawah, Untuk Pihak Maskapai & Traveloka Tolong Agar Diperhatikan Lagi .",""
"Bg 50it","Saya boking kamar hotel ditarutung utk tgl 16/12 ,tapi krn ada sesuatu hal saya batalkan dan mengajukan Refund dan uang saya dikembalikan tgl 16 /12.tdk seperti yg sebelah refund tdk dikembalikan.TRAVELOKA ????????",""
