"Nama","Review",""
"Solide Solide","Gak bisa dipercaya, disuru hubungi costumer servis gak taunya gak bisa dihubungi. Uang gak bisa balik lagi",""
"tepih rapih","Mengecewakan..saya butuh tiket cepet respo lama,,aplikasi eror,,pengembalian dana lama pula.Nyeselll bgt aku,,padal awalnya percaya..sekarang Mengecewakan..",""
"musliha putryy","error mulu kayaknya nih, udah hampir seminggu. PHPin terus tiketnya. di opsinya ada, udah di klik, trus isi detailnya. eh keterangan kursi udah penuh. gitu mulu dahh -_-",""
"Riyan Dwi Putra","kacau yaa.. Pesen hotel dari tgl 25/3/19 dengan ID 68847803, udh bayar, duit keluar, eh kadaluarsa.. udh hampir seminggu nih , email no respon, tlp cs apalagi, ga diangkat2 pagi siang malem. Aneh ada layanan kaya gini, payah.",""
"Singgih Adiyan","aplikasi bobrok, tanpa kejelasan dan menggelapkan dana customer, banyak pihak yang sudah melakukan transfer dana tetapi kode boking tak kunjung di berikan malah tiket kadaluwarsa, silahkan untuk yg instal apk ini di uninstal aja bobroknya nyata sekali tak ada pertanggungjawaban dari pihak perusahaan...Ulasan Lengkapaplikasi bobrok, tanpa kejelasan dan menggelapkan dana customer, banyak pihak yang sudah melakukan transfer dana tetapi kode boking tak kunjung di berikan malah tiket kadaluwarsa, silahkan untuk yg instal apk ini di uninstal aja bobroknya nyata sekali tak ada pertanggungjawaban dari pihak perusahaan!",""
"imfran purba","aplikasi apaan sih, tiket kereta dibuat ada yg kosong pas di order, pilih kursi penuh. balik ke halaman awal, kursi masih banyak kosong. gk jelas nih",""
"Pengguna Google","Saya kecewa..pertama pakai aplilasi ini infonya dapat voucher 125.000.tapi sekalinya saya coba pesan tiket watu mau bayar voucher tidak berlaku..tolong donk jangan bohongi konsumen",""
"Nomi ringo","aplikasi sangat jelek jangan download karena setiap kali pesan saat akan bayar selalu harga sudah berubah jauh lebih mahal dri aplikasi lainnya kalau kayak gini sama aja aplikasi penipuan, lihat daftar harga dibuat lebih murah tpi pada saat bayar semua harga berubah jadi jauh lebih mahal, sangat men...Ulasan Lengkapaplikasi sangat jelek jangan download karena setiap kali pesan saat akan bayar selalu harga sudah berubah jauh lebih mahal dri aplikasi lainnya kalau kayak gini sama aja aplikasi penipuan, lihat daftar harga dibuat lebih murah tpi pada saat bayar semua harga berubah jadi jauh lebih mahal, sangat mengecewakan sebaiknya tutup saja aplikasi jelak kayak gini",""
"Pengguna Google","Sangat mengecewakan,saya pesan tiket kereta malah dibilang pemesanan kadaluarsa. Padahal saya sudah kirim bukti transaksi ke e-mail dan tanggapannya hanya disuruh menunggu. Minta REFUND pun masih disuruh menunggu,semoga org2 yg ingin menggunakan aplikasi ini berfikir 2 kali.",""
"Denny Lolly","di upgrade malah ga bisa buat pesan tiket pesawat... selalu muncul ""cari penerbangan lain"". sudah menghubungi cs nya...jawabannya ga memuaskan... ya sudahlah...pesan tiket nya di loket sebelah...",""
"puji rahayu","Habis update bukannya malah bagus malah gak bisa pesan tiket, selalu muncul penerbangan habis, setelah telpon call center ternyata masih dan gak di aplikasi saya saja di tempat teman juga sama.",""
"Cecep Soeganda","tolong di perbaiki aplikasinya... soalnya saya kecewa pas mau boking tiket kereta api, ngak ada keterangan kursi penuh tapi pas saya boking ngak bisa.",""
"Bima Cahaya","Aplikasi yang sangat buruk, sudah transfer uang tetapi e voucher tidak masuk ke hotel, CS dihubungi berbelit beli alhasil tidak bisa check in hotel dan uang pun lenyap..",""
"Andi Maghribi","error terus ketika mau booking kereta. tulisannya : error booking, daftar tunggu tidak ada, atau error booking partner tidak tersedia. kalau emang tidak tersedia, jangan ditampilinlah. dibuat hilang, atau dihitamkan. jelek banget",""
"Helmi Aditya","Pelayanan yang buruk ... reservasi hotel 2x eticket tidak muncul dan tidak ada di hotel tersebut ...untuk refund tidak ada jwban ... baik menggunakan aplikasi sebelah ... APLIKASI TERBURUK ....",""
"RIMBA TV","payah dlm aplikasi, tiket kereta tersedia tp di beli kok gak bisa sedangkan saya cb buka di aplikasi yang lain mmg tidak tersedia bahkan aplikasi anda ini saya update lagi,apakah tampilannya hoax tolong tingkatkan klo mmg tdk tersedia ya kasih tampilan yang sebenarnya jangan php.",""
"aulia mys","Sangat kecewa, harga yang tertera ditanggal tidak sesuai pada saat Diklik",""
"Pengguna Google","Pelayanan cs sangat mengecewakan. Ga niat ngurus komplain, sampe 4x dibikin nomor laporan tuk kasus yg sama. Gak jelas!!  ",""
"Annisa Aulia Arysiwi","Sangat mengecewakan, mesan 3 tiket pulang pergi, eh ternyata dibatalkan, tanpa ada konfirmasi yg lebih detail, dan refund nya tidak cepat",""
"AZZALFA BAHRI","KECEWA DENGAN APLIKASI INI, UDAH PESEN TIKET DENGAN HARGA PROMO SETELAH BERHASIL ISI DATA DAN SIAP BAYAR MALAH KE HARGA NORMAL. AKU INGIN SEGERA TUTUP AKUN DAN TELAH BUAT PELAPORAN KE EMAIL DAN CS NAMUN UDAH SEBULAN LEBIH BLOM DI PROSES. MOHON PENJELASAN BOSQ",""
"Iwan Winarto","Payah, aplikasi sampah, promo penipuan semua, komplain gak pernah direspon. Ada 3 No laporan: 01073458 , 01073513 , 01073516 . Hanya janji2 melulu tapi tidak pernah ada follow up lagi alias lenyap. Hati2 kalo beli disini, bila ada masalah tidak pernah ada solve problem. Mending cari yang pasti2 aja,...Ulasan LengkapPayah, aplikasi sampah, promo penipuan semua, komplain gak pernah direspon. Ada 3 No laporan: 01073458 , 01073513 , 01073516 . Hanya janji2 melulu tapi tidak pernah ada follow up lagi alias lenyap. Hati2 kalo beli disini, bila ada masalah tidak pernah ada solve problem. Mending cari yang pasti2 aja, masih banyak pilihan aplikasi kompetitor lain yang jauh lebih jelas, tanggung jawab & kompeten.",""
"Rindiani gunawan","saya booking hotel dan sudah bayar pas nyampe d tmpat bookingan saya tidak ada dn hmpir jam 1 mlm blm ada kejelasan padahal sya sudah mnghubungi cs nya via tlp juga WA.dsuruh tunggu 3 menit dn sebentar tp smp skrg begini mengecewakan",""
"Iniansuh Khonaesy","hari ini, 28 juli 2019 02 : 49 Arosa Hotel Bintaro kamar hotel di lt.6 hari ini saya dirugikan, n sgt2 kecewa 1. Membantu merubah reservasi voucher ""TIDAK BISA"" 2. refund special case ""TIDAK BISA"" 3. memberikan voucher pengganti ke hotel lain dihari yg lain ""TIDAK BISA"" 4. mengecewakan pelanggan dg ...Ulasan Lengkaphari ini, 28 juli 2019 02 : 49 Arosa Hotel Bintaro kamar hotel di lt.6 hari ini saya dirugikan, n sgt2 kecewa 1. Membantu merubah reservasi voucher ""TIDAK BISA"" 2. refund special case ""TIDAK BISA"" 3. memberikan voucher pengganti ke hotel lain dihari yg lain ""TIDAK BISA"" 4. mengecewakan pelanggan dg Customer Care yg tdk Solutive ""BISA"" 5. menjalankan sistem yg merugikan banyak pelanggan ""BISA"" 6. mengambil uang pelanggan tanpa memberikan layanan yg memuaskan ""BISA BANGET"" 👍🏻👍🏻👍🏻👍🏻👍🏻",""
"Aulian Khalif","Aplikasi yang susah dan lama untuk proses refund dana, sedangkan saya melakukan refund dana untuk keperluan yang mendesak. Setiap hari di suruh menunggu. Tidak seperti tra*ve*ok* dan Pe*i*eg* paling lama 2 hari untuk refund",""
"Andika Rosadi","Anjing nih aplikasi, booking jam 12, udah bayar udah selesai urusan, udah tau orang ngantuk pengen tidur. Nyampe penginapan gak bisa d proses bukti belom di kirim, giliran d refund gak bisa emang ANJING ini aplikasi TAI",""
"Ary Wijaya hendrato","saya sungguh kecewa untuk Masalah refunt tiked, prosesnya uang kembali lama, syarat2nya bikin ribet dan pny cs yg trima tlp dan trima email ga pernah konek, mau email atau lewat WA cs terlalu lama balasnya",""
"Yulia Fransisca","payah team cs tidak ada respon. di email ga di balas,dm di Twitter ga di baca, di ig juga sama . nasib etiket saya gimana, sudah bayar dari jam 2 siang kemaren lho , 3,8 juta . tidak ada itikad baik dg complain customer .",""
"julius stevenson","sngattt mengkecewakan, anti galau malah lebih mnggalaukan krn pot refund sngat besar tdk sesuai dng anti galauny pengambilan tiket, rasanya pngen q makii CARI APLILASI LAIN YH LBIH MEMUASKAN TDK MNGKECEWAKAN najisss,",""
"Didien Awdhie","Buruk bgt...dsaat mau refund.. Cs g bs dhubungi..email smp 50kali g dtanggepin..wa g dbaca...!!!",""
"Alvino Nugroho","APPLIKASI BABI ANJING, KONTOL. LU DISINI JUAL JUAL SISTEM, KLO SISTEM LU KAYA BANGSAT BEGINI GMN..? GW PESEN UNTUK TANGGAL 8-9 NOV 2019,GW PESENNYA HARI KAMIS TGL 7 JAM 11.30 MLM. SISTEM LU ANJING YG KAYA BANGSAT KNP MASUKNYA DI APPLIKASI TGL 7. LU JUAL APPLIKASI APA NIPU ORNG BABI, LU MAKAN UANG HA...Ulasan LengkapAPPLIKASI BABI ANJING, KONTOL. LU DISINI JUAL JUAL SISTEM, KLO SISTEM LU KAYA BANGSAT BEGINI GMN..? GW PESEN UNTUK TANGGAL 8-9 NOV 2019,GW PESENNYA HARI KAMIS TGL 7 JAM 11.30 MLM. SISTEM LU ANJING YG KAYA BANGSAT KNP MASUKNYA DI APPLIKASI TGL 7. LU JUAL APPLIKASI APA NIPU ORNG BABI, LU MAKAN UANG HARAM LU KONTOL LU PADA. SAMPE KAPANPUN GW NGGA IKLAS UANG GW.. BIAR JADI API NERAKA NANTINYA BUAT LU. DEMI TUHAN GW NGGA IKLAS. MAKAN UANG HARAM LU ANJING BABI, BANGSAT KONTOL. CS TDK MEMBANTU",""
"Rifda Zahira","sangat kecewa karena saat saya mau check in ke hotel yg sudah saya booking, ternyata booking an saya tidak masuk ke hotel yang saya tuju. benar benar mengecewakan",""
"Kresna Brata","Aplikasi cacat! Baru pertama instal aj kaya tai, g bsa verifikasi lwat nomer hp! Aplikasi cacat tdk rekomendasi.",""
"zahra iriani","aplikasi jelek. saya pesan tiket sudah dibayar tapi etiket saya tidak pernah dikirim. saat hubungi via tlp, WA, email semuanya gak dibalas. aplikasi macam apa ini. kembalikan uang saya!!!!",""
"hasri asri","Aplikasi goblok saya sdah lama pake tapi ngk ada kebijakan nya goblok, alasan CS antrian² mana antrian sampe2 kta ngk d respon",""
"Rendi Ariesta","aplikasi aneh gak jelas. sudah jelas booking dan transfr hotel ehh pas sampe di hotel malah kode booking tidak terdaftar. kapok pakek aplikasi ini. yanh lain mending pikir 2x. ini kalo bisa saya kasih minus bintang nya sangat mengecewakan.",""
"Shinta Arindi","Baru pertama order tiket pesawat disini penerbangan SUB-PLM, ordernya yang langsung karena ada anak bayi eh tiba2 ada pemberitahuan penerbangan diganti karena ada kesalahan operasional jadinya yg pake transit ke CGK dulu. kecewa sekali!",""
"dhika wijaya","Anjing aplikasi pembohong penipu bagi costumer yg mau pesan di sini berfikir lah baik jgn sampai anda korban selanjut",""
"Pengguna Google","proses refund tidak jelas, jawaban cs berbeda2, dan saya pernah beli tiket sudah transfer tetapi eror diaplikasi (tiket hangus). not recommended. semoga ada perbaikan. sangat kecewa",""
"Vinachio Aja","Apl tai ga isa di pke,mau pesan tiket kereta sulit...!",""
"Lindiana nofrita","jangan pake aplikasi ini,hotel fiktif yg di jual,ga disurvey dulu ma tim tiket.,com Nyusahin bikin nyasar Padahal kami dah bayar, mo istirahat",""
"rika andriani","belakangan ini aplikasinya suka eror, cari penerbangan jakarta adanya cuma citilink direfresh muncul maskapai lain, tapi pas mau di klik katanya ada kesalahan.. bete banget",""
"Andye Dyka","sangat susah,, saya coba cari tiket kereta api,, permintaan anda sedang diproses trs sampai pagi,, padahal koneksi internet saya bagus,, buka aplikasi yg lain jg lancar,, mengecewakan",""
"hasib ahmad","Moga ga mengecewakan & makin ditingkatkan pelayanannya..",""
"Panca Nugraha","lapor min.. aplikasi eror gara2 kesamber gledek nih.. ane mau booking hotel ga bisa2, blankpage terus.. padahal sebelum ada program gledek ane lancar2 aja beli tiket kereta pesawat ma hotel.. harap segera perbaiki min.",""
"Susan Ade","review nya banyak yg kecewa yaa.. tadinya mau booking tiket disini tapi pas baca review²nya ini dan googling, kok jadi kayak maju mundur. Mungkin perlu ditingkatkan lagi sistemnya.",""
"Haikal Bewok","Aplikasi penipu.. jgn di download.. sudah di komplein tidak ada respon dri pihak aplikasi.. terimakasih atas penipuan nya ambil aja tu duit",""
"danny hariyangga","Saya kecewa sama pemesanan hotel di aplikasi ini waktu itu..dan menurut saya percuma aplikasi ini menang dapet voucer saja.. tapi rugi juga voucer bisa di gunakan transaksi min 800 ribu aplikasi percuma..",""
"indira harahap","maaf saya yg salah..proses refundnya sudah cepat. tapi tiket creation dan user interface buat cancellation process masih kurang. terus utk merchant car rental nya kredibilitas nya tolong ditingkatkan.terima kasih.",""
"Angelina Afra","Saya sedikit kecewa, kemarin saya refund tiket penerbangan sampe skrg belum ada konfirmasi sama sekali, padahal sudah lebih dari 90 hari",""
"Pengguna Google","Kecewa bgts sma aplikasi ini.. Udah betul smw data2 kok ternyata gk bisa dipesen tiketnya kenapa? Kecewa bgts pkok e gk cepet masak beli tiket nunggu.. Kecewa aplikasi gk berguna kecewa pwoollll Stiap pesen sllu gk bisa kenapa? Padahal cma mau beli tiket lebaran susahnya minta ampun yg alasanya haru...Ulasan LengkapKecewa bgts sma aplikasi ini.. Udah betul smw data2 kok ternyata gk bisa dipesen tiketnya kenapa? Kecewa bgts pkok e gk cepet masak beli tiket nunggu.. Kecewa aplikasi gk berguna kecewa pwoollll Stiap pesen sllu gk bisa kenapa? Padahal cma mau beli tiket lebaran susahnya minta ampun yg alasanya harus antri lah apa lah kecewa saya pakai apliksai ini",""
"nike ash","Aplikasi jelek sekali. ada promo gledek tgl 25 tp aplikasi tidak jalan sama sekali. infonya ada promo tp aplikasi tidak bisa di buka  ",""
"Kembar Virdih","Maaf gak jadi mnyukai aplikasi ni, gk jlas harga tiba"" berubah tnpa info lbih dahulu,, klw tidak bsa mmberi yg trbaik jgn mmberi dusta.",""
"Hendry Chan","eekk pantes lebih murah tiket pesawatnya ga sama bagasi 20kg untuk bagasi musti beli lg dan jatuhnya lebih mahal dari aplikasi sebelah yang sudah termaksud bagasi 20kg",""
"Pengguna Google","sangat kecewa,respon cuma sekali selebihnya semua CS sibuk saya sudah berpuluh kali telpn,di email tidak ada jawaban padahal jadwal keberangkatan suami saya besok.balikin uang saya!!!!",""
"chairi minandar","cs nya SANGAT TIDAK JELAS, susah dihubungi.. Aplikasi yang SANGAT TIDAK BERTANGUNG JAWAB.",""
"Makmur Nugraha","aplikasi tidak bisa menampilkan jadwal kereta bulan agustus sampai september tahun ini..sangat kecewa",""
"Siska Purba","Saya sangat kecewa dengan sistemnya yang eror, perjanjian refund 14 hari kalender namun sudah hampir 30 hari belum juga ada refund.",""
"anwar nury","aplikasi kontol ga jelas..kerjasama sama pihak hotel/apartement ga ngerti prosedure nya..tipu2 doang..goblok",""
"Nindita Pranartiwi","sekarang kamu mulai bohong ya, di tanggal perjalanan yg tertera paling murah 900an tpi ktika di cek gada tuh yg hrga segitu",""
"SASMITA SARI","gara2 aplikasinya eror terus gk jadi berangkat ke tempat tujuan, qlo promonya PHP mending gk usah deh dari pada promo gledek tapi taunya aplikasinya malah eror terus ",""
"Doni kurniawan","sangat kecewa saya sudah boking tiket sudah transfer uang tapi tidak ada konfirmasi pemesanan sampai pemesanan saya kadaluarsa",""
"Y Linda","sering eror.. dicoba sampai 1jam malah dapat harga bener bener di sambar gledek.... harga promo gledek lebih mahal dr travel*k* ...",""
"Dicky Haryanto","review banyak yg kecewa sudah download gak jadi pake takute kayak aplikasi sebelah bisa pesen gak bisa dibayar giliran di cek di lokasi tiket sudah habis. takut seperti itu jika urgent gak bisa diandalka mungkin bisa buat hiburan saja buat lihat2 info harga belinya tempat lain saja.",""
"Pengguna Google","aplikasi gk jelas, sudah didownload dibuka gk bisa, loading mulu, akhirny gue instal lagi, nyesel download jadinya",""
"masna imama","ini apk yang terburuk yang pernah saya pakai, cs nya slow respon parah, dan proses pengecek an dana dan e tiket lama sekali,",""
"WoWoN Azriel","HARI INI PENERBANGAN SAYA DIBATALKAN,,, MAKSUD NYA APA!!!!!!!!!!!!!!",""
"Pengguna Google","jelek banget pelayanan... cs nya gak bs d hub.... gmn klo uang udh d transfer tiket gak dpt kyk gn... sy Mau brangkat gmn bosss... 2 hari di hub truss csnya gk bs.... taiii emang tlpn berkali2 menghabisi pls aja.... tanpa kejelasan",""
"Fajar Suryadinata","payah payah payah, disaat lagi urgen hrs reservasi malah error pembayarannya, berkali kali di coba gagal terus saat sesi metode pembayaran,",""
"Hengki Ellen","KETENTUAN REFUND DI APLIKASI TERTULIS SEBELUM 12 JAM DARI PENERBANGAN TIDAK DI KENAI POTONGAN DAN REALISASI TIDAK SESUAI DENGAN YANG DI UCAPKAN CS VIA CALL.!!!",""
"Hendra Widya Putra","Aplikasi kontol, cari tiket mudik eror trus, lu duluin yg mana ini??",""
"Evhy Meme","sering eror, minta refund tdk segera di proses padahal sudah dibayar lunas !!! tolong diperbaiki sistemnya...",""
"도라","Ih jelek banget apknya. Masa mau input stasiun, ada masalah terus sampe 30menitan nunggu loadingnya. Udah ke loading search train malah ada masalah lagi. Aneh. Perbaiki dong kak",""
"Nur Ayudin","buruk sekali...boking tiket kereta di gerbong 4 dapatnya di gerbong 1...gimana ceritanya.",""
"Nurwan Farmadi","Selama ini ok tdk mengecewakan, tp mohon u/ masa berakhir tix point jauh jauh hari di beritahukan biar tdk hilang begitu saja. Kmr saya kehilangan 700.000 tix ponit....",""
"Sister Tour","saya urus refund dr tnggl 25 juni dan sudh d kasih id lap kedua msh blum kembali2 dana saya, payah lama!!!!! d suruh tunggu terus",""
"Sony Kaneshiro","aplikasi sampah. ud payment tp g muncul tiket nya. nyari kontak cs nya sjah susahnya minta ampun. ud ditanya alasanya tiket pesananya terhapus sistem. sangat tidak ada gunanya aplikasi ini. pesen ajah lwt yg lain. g usah lewat sini",""
"Husein AR","Payah minta update terusss, bikin boros kuota",""
"Eko Kurniawan Khannedy","tix point ditukar barang. udah 1 bulan gak dikirim. gak ada kabar udah ditanya berkali2. kualitas pelayanannya SAMPAH!!!!",""
"Ratnawati","Sangat sangat buruk, baru Download mau beli tiket kereta tapi selalu ga bisa. Nyesel Download ini lagi, padahal dulu ga kayak gini",""
"D a e n g B a c o","Pelayanann buruuukkkkk, csnya lambat kasih solusi, terllu berteletele csnya, sya issued tiket tpi kode booking belum keluarr, alasann csnya minta waktu sejam untk cek apakah dana sya sdh masuk atau tidak, pdahal sya udh ksih lihat bukti transferan sya , pas sejam kemudian alasannya masih belum dapat...Ulasan LengkapPelayanann buruuukkkkk, csnya lambat kasih solusi, terllu berteletele csnya, sya issued tiket tpi kode booking belum keluarr, alasann csnya minta waktu sejam untk cek apakah dana sya sdh masuk atau tidak, pdahal sya udh ksih lihat bukti transferan sya , pas sejam kemudian alasannya masih belum dapat dia cek dana sya. , betul betull kalii iniii syaa keceewaa skli sama aplikasiii tiketcomm soal sepele sja kok ngak bisa memberi solusiii   ",""
"lina herlina","Haduuuh parah gk bisa pesen tiket pesanan tdk tersedia mending pindah ke sebelah aja",""
"Chusnul noeriansyah poetri","SANGAT BURUK PELAYANAN COSTUMER SERVICENYA, DI HUBUNGI BERKALI KALI BERHARI HARI TIDAK ADA RESPON SAMA SEKALI, PIKIR PIKIR LAGI KALAU MAU MENGGUNAKAN LAYANAN @tiket. Com",""
"mbah tris","Lebih mudah cepat dan gak ribet pokoknya mantap deh",""
"Nuge69 Ghofur","Sangat membantu.. Lebih byk diskon nya",""
"aww 666","Mantap lah di tanya tantang informasi Quick reply",""
"Wahyu Gunanto","Sangat membantu",""
"Rudi Tri handoko","Sangat membantu",""
"Sandi Irawan","Biar bntang yang bicara",""
"Iwan Gunawan","Sangat membantu   ",""
"Ahmad Rizal","Sangat membantu",""
"Amiruddin Amiruddin","Sangat membantu",""
"Hairil Amin","Sangat membantu",""
"Lalu Muhammad Wawan","Sangat membantu",""
"Ndut Opr","Cepat prosesnya",""
"nur sahid","Sangat membantu",""
"Bella Nagan","Sangat membantu",""
"Adi Sopian","gampang dan lumayan murah",""
"Totok Supriyanto","Puas Sekali sama pelayananya",""
"Daga Layuk","Pelayanan baik",""
"Ami Wisesa","Goid, oesan tiket kereta gpl ,alias gak pake lama  ",""
"Yohana Martha","     manteb makin lama makin bagus aplikasinya",""
"Amsal Bahtiar","Luar biasa. Aplikasi yang sangat membantu",""
"putra ramaja","Sampai saat ini masih makai apk ini good",""
"Adi Surjawan","Menyenangkan.. bikin jadi mudah merencanakan..",""
"Suprihatin Atin","Sangat mudah pesan tiket pesawat dr sini",""
"adi firnadi","Gampang sekali melakukan pemesanan tiket",""
"henny hariyani","Harga nya terjangkau dan mudah dicarinya",""
"Maman Adi putra","Bulum pernah pakai sih.. tapi liat aplikasihx pokoe mantaplah",""
"Resturamadan Resturamadan","Cukup mudah TDK neko neko",""
"Krisno Kris","membantu sangat",""
"Hendra Pattiiha","mantab, bersaing harganya dan mudah digunakan",""
"Ika Acca","Sangat dimudahkan dgn adanya aplikasi ini",""
"Suparman Arman","Hidup bahagia dengan kejujuran dan mencari eidlo Allah.niatkan semua unruk Ibadah",""
"eny ratih","Bagus ,cepet dapet sesuai kebutuhan",""
"RIFA KEYSHA","lebih mudah dlm merencanakan perjalanan",""
"Zikri Rizki","mau ke mana? semua ada tiketnya!  ",""
"agos sae","memudahkan untuk perjalanan nggk usah repot2.",""
"Sepriani Rerung","Bagus sekali",""
"Marsid Danya","Bagus n baik",""
"Setyo Broto Atmojo","Luar biasa metode pembayaran banyak dan ga ribet",""
"jon effreddi","Senang dapat diskon dan makan di pesawag",""
"Firman Adhi","Luar biasa. Smakin mudah mengunakan",""
"orange sakura","Ntaps dah pokoknya",""
"Yuni Dewi","Tanpa harus antri beli tiket ny...",""
"chiang hartanto","Cara mudah pemesanan tiket, mantap",""
"ar man","Mantap, cepat dan respon,",""
"firman hadi","Banyak promonya, harga pun murah puas sekali",""
"Fahmi Riza","Sangat membantu dalam mencari dan memesan tiket",""
"I Nyoman Ramia","Mudah dan cepat serta gampang diakses",""
"Syahrani Alfaztar","Mudah, murah dan cepat the best lh pokoknya",""
"Effrina Dwi Yuni","Aplikasinya masih bertahan di hp.",""
"A Sofyan Dzulkarnain","Lumayan cepat. Semoga meninkat terus",""
"suhariyono riza","Mudah untuk pemesanan Ticket perjalanan",""
"Tresye Momongan","Mantap! Tiket promox bsa di jangkau",""
"Franky Halim","Bagus sekali",""
"Hengki Soda","di coba dlu  ",""
"yudi bjs41","Membantu skli",""
"martina dhasman","So far masih enak enak aja, Harga bersaing",""
"Dwiputri Gultom","Lebih gampang buat pemesanannya,puas dh.",""
"Khaidar Al Mauludy","Sangat bermanfaat dan promonya banyak",""
"Anthonius Wijaya","Mempermudah cari tiket pesawat dan KA",""
"Achmad faisal","Lebih lengkap dan cepat proses mantaf",""
"Yayat Ruhiyat Sk","Ok banget.mantep",""
"Anin Asyik","Memuaskan pokoknya",""
"Lailatul Isti'anah","Bagus...syg sabtu minggu gk ada promo",""
"rido subagio","Sangat membantu...luar bÃ¬asa...",""
"Erinaayu Pujianti","Semoga tetap sukses untuk kedepannya ",""
"Edi Prajitno","Cukup mudah dan cepat untuk cari tiket pesawat",""
"Mokh. Sunandar","Mantap.... Sangat Membantu Sekali",""
"Doddy Cahyadi","Sangat memudahkan tuk pembelian tiket",""
"Kristi Anto","Good aplikasi kalau untuk bepergian kemana2",""
"khairul hamid","Bagus, tapi ga ada diskon",""
"Agung & Icha tv","Keren memudahkan untuk membli tiket",""
"Andhy Oetjoe","Simpel dan banyak diskon.",""
"Agus Wibowo","Proses cepat dan harga bersahabat.",""
"Fu Ad","Cepat, tidak ribet pemesanannya",""
"Steven Sahelangi","Mudah pesannya",""
"YOEL SINAGA OFFICIAL","Mantap pesan tiket jadi lebih mudah",""
"Octo Immanuel","Aplikasi yang bagus dan cukup mudah",""
"Wisnu Wardhana SBT2 suzukisbtsby2","sangat membantu seekkkallliii",""
"Heru Marwanto","Mantapp...harga paling kompetitif",""
"Agus Winarno","Alhamdulillah bagus sangat membantu",""
"Dannydwi Arianto","Terbaik!! Semua ada tiketnya",""
"Unggul Pambudi","Cepat prosesnya. Harga baik dri yg lain",""
"Rizky Syarifah","pilihan hotelnya murah2 dan banyak promonya",""
"Anny Kartiningsih","Cepat tanggap harga kompetitif",""
"hendra souw","thanks,, sangat membantu",""
"Tian Abbasy","Memudahkan selama perjalanan",""
"Alfieckry ronaldo","Good. Lebih murah dari traveloka jos gandos",""
"Inta gusti","Mantap utk tiket pesawat murah spy cpt sukses tiket",""
"Fandi Fanza","Bagus dan bermanfaat. Terima kasih",""
"Amir Syach","Cepat dan mudah, harga kompetitif",""
"Suhar Tono","Nice kl bisa cod an lebih bagus",""
"Alyssa Syam","Mudah, cepat, gak ribet. ",""
"Anisa Rahmadini","Bagus banget banyak diskonan juga mantul   ",""
"Warsih Tuning Tiyas","Cepat nyambung ke apa yg kita mau  ",""
"joni Marwan","Cepat dan mudah, keren banget",""
"Erick Chaerudin","Aplikasinya sangat membantu",""
"Se Lili","Manatp dn praktis",""
"nur herawaty","Aplikasi sangat mudah dipahami.",""
"Alwin Hardiantomy","Coba download . Kerennya loss",""
"mula saut sitanggang","Cepat kilat cara bayarnya gampang.makasih tiketku..",""
"Henry Irvin","Sangat baik dalam pemesanan tiket",""
"Husniel Mubarak","Baru mulai di aplikasi ini",""
"karnova bastari","cepat dan harga kompetitif",""
"Radil Tks","Transaksi mudah dan menyenangkan",""
"AYAH & NAUFAL","Mudah & Simple, banyak Promonya",""
"iAm Noer","Traveler Wajib install!!!",""
"Muhammad Aufa","Tidak Memgecewakan. Puas !",""
"Hadi Apri","Penerbangan dengan citilink ....Tepat waktu",""
"Avines Avines","Sangat membantu terima kasih",""
"Hoirul Channel","Puas Dengan Poinnya... Semoga sy Dapat mobilnya.heee",""
"Ziie","Oke banget sangat membantu",""
"Noor Asiyah","Bagus dan mudah proses nya",""
"Kezia Karin Studio","Oke bNget. Penggunaan mudah",""
"Irfan Mualif","Good job tingkatkan terus kualitas terbaik   ",""
"Prasetio Wibowo","Sangat membantu dan memudahkan.",""
"Ardani Kuswantoro","luar biasa, banyak promo nya",""
"Sandra Lukman","Layanan cepat dan mudah. Enyanang kan",""
"Faizal Noris","Terimakasih, sangat membantu",""
"Azhardi Edi","Gampang dan simpel penggunaannya",""
"M SAID","jos gandos awalnya terkendala akun tapi alhirnya jos",""
"fikar ufuk","Banyakin promonya lg ya tikcom",""
"wendy djohan","Cepat, praktis dan luar biasa.",""
"eredy kurmanto","Bagus pelayanannya.. Lbh ditingkatkan lg",""
"Apa Aja","Nice. Banyakin promonya lagi hehe",""
"cumi lokal","Murah beda sama tetangga sebelah",""
"Kurniawan ae","Fungsi aplikasi yg sangat bagus dan mudah",""
"Dodik Winnata","Pemesanan tiket bisa cepat",""
"Leni Maulini","Sangat memudahkan!!!!",""
"Didit Supriyanto","Excelent Pelayanan prima banyak bonusnya",""
"af rizal","Oke mudah dan banyak promo",""
"awad wachdin","Cepat dan gampang banget",""
"addin naman","Memberi solusi setiap perjalananan anda...",""
"Alfonsus Amareko","Sistem cepat dan tidak bertele2  ",""
"M Syafni","Bagus sekali.. Bnyakin promonya",""
"Bang Togar","Hanya sekali klik rebes alias beres mantappp",""
"Feby Angelia Pumpun","Aplikasinya bagus...",""
"Jaka Setia","Harga lebih murah dr yg lain....top ",""
"sherlin callista","banyak diskon dan mudah banget",""
"Yudhistiro Ajie Darmawan","Mantab banyak diskon dan mudah",""
"rudy kurniawan","Banyak bantu saya di saat mepet",""
"Umbu Rada","Bagus , mudah transaksinya",""
"Fitri Darsah","Semoga dpt memudahkan pelanggannya..",""
