"Nama","Review",""
"fang bregas","Merasa di permainkan soal refund dana tiket Sesudah 2bulan baru di kasih info dana refund sudah di kirim 2bulan lalu Sebagai konsumen juga gak tw itu duit sudah transfer atau belum...sudah gk bsa cek mutasi rekening..waspada",""
"Rifki Djulkifli","aplikasi tidak bisa dibuka setelah di update",""
"Joko Wiyarto","Pembayaran melalui kartu debit sangat susah",""
"Khakim Mubarrak","Kursng bagus sekarang",""
"Rio Anggara","PROSES REFUND YANG BERTELE TELE DAN RIBET ..... SANGAT BURUK PELAYANANYA ...",""
"Marlien Miranda","REFUND BERTELE² DAN GA JELAS STATUS NYA",""
"abd munir","cuma lambat realisasi refund",""
"Jorwis Calvin","Contact CS Tidak ada respon sama sekali",""
"Ian Kari","Satu bintang cukup menceritakan kekecewaan 😔",""
"Devita Hasta","Woy, susah banget hubungi CS nya, telf gak bisa sampe 6 menit masih nunggu terus, whatsapp gak ada jawaban. Gue mo refund tiket 4 juta, kata maskapai balik utuh, giliram cek dari aplikasi cuma 3 juta, yang bener ajeeee bossssss... Gilagg.",""
"Muftah Marbaith Al Hamid","Konfirmasi pemesanan tiket begitu cepat, namun penanganan masalah begitu lambat dan terkesan tidak pasti. Saya menghubungi jam 10 malam dan baru dikabarin uang telah masuk jam 8.17 pagi, apa kalian menunggu karyawan yang mengurusi bank masuk baru menjawab saya? Kalau begitu tidak perlu gembar-gembor...Ulasan LengkapKonfirmasi pemesanan tiket begitu cepat, namun penanganan masalah begitu lambat dan terkesan tidak pasti. Saya menghubungi jam 10 malam dan baru dikabarin uang telah masuk jam 8.17 pagi, apa kalian menunggu karyawan yang mengurusi bank masuk baru menjawab saya? Kalau begitu tidak perlu gembar-gembor CS 24/7. Re: Jangan merugikan customer atas kesalahan sistem kalian, kecuali kalian ingin ada lagi yg uninstall seperti saya. Btw, saya tidak membaca kata ""maaf"", tidak merasa salah?",""
"khoirul amien 27","saya menyesal sangat beli tiket disini jika pembatalan tiket uang tdk kembali 100% cuma di apl KA AKSESS yg bisa kembali 100%. lagi musim corona gini masih aja ga ada kebijakan buat kami",""
"Christiansyah Ucok","Mana custumor service, 2 hari di hubungi gk pernah nyabung Sampe pulsa habus 100rb Tiket saya di cancel sama pihak maskapai, dan satu lagi hangus Ni aplikasi, ternyata lari kalau ada masalah Mau jadi paytrend juga Parahhhhhhh",""
"Faidil Holis","Nyesal saya pake aplikasi ini, tiket refund saya konser dewa sampe sekarang belum ada pengembalian. Di hub lewat chat jawabanya itu2 aja berulang kali. Parah ini aplikasi",""
"bisly amir","Proses refund terlalu lama",""
"Muhmmad fajar Nasution","Balikin uangku anjing!!",""
"Chiesa Hariandi","Pelayanan yg buruk",""
"iwan pratama","Aplikasi sangat buruk sangat merugikan banyak orang... kenapa saat sedang rebutan tiket kereta API lebaran malah tidak bisa di akses.. buruk buruk buruk..... ga bagus mending di tutup saja aplikasinya",""
"Abc 123","Saya refund di tolak karena pemesan dan norek refund beda, terus uang saya mau di kemanakan.? Tolong penyelesaiannya dong jgn ribet refund juga, udah beli tiket anti galau dengan biaya 49000 eh malah refund akan di kembalikan 75% katanya, terus buat apa saya beli jamianan tiket anti galau jika gitu ...Ulasan LengkapSaya refund di tolak karena pemesan dan norek refund beda, terus uang saya mau di kemanakan.? Tolong penyelesaiannya dong jgn ribet refund juga, udah beli tiket anti galau dengan biaya 49000 eh malah refund akan di kembalikan 75% katanya, terus buat apa saya beli jamianan tiket anti galau jika gitu gak guna juga itu di adakan untuk apa. Cari keuntungan dengan memotong uang begitu besar hampir 450 ribu padahal refund dilakukan 4 hari sebelum keberangakatan jadwal. Dan refund memakan 14 hari lama",""
"sabiq rizki","SAYA PENGGUNA AKTIF DAN MUTUALISME DENGAN TIKET. COM, BAHKAN ELITE MEMBER 3 TAHUN, NAMUN DI ERA SAAT INI TIKET. COM BELUM JUGA MEMILIKI KEMUDAHAN PEMBAYARAN DENGAN PAY LATER UNTUK KEMUDAHAN TRANSAKSI. MEMBUAT AGAK SEDIKIT BERKURANG RASA DIBANDINGKAN PERUSAHAAN LAIN YANG SUDAH SEMAKIN MAJU NAMUN TIKE...Ulasan LengkapSAYA PENGGUNA AKTIF DAN MUTUALISME DENGAN TIKET. COM, BAHKAN ELITE MEMBER 3 TAHUN, NAMUN DI ERA SAAT INI TIKET. COM BELUM JUGA MEMILIKI KEMUDAHAN PEMBAYARAN DENGAN PAY LATER UNTUK KEMUDAHAN TRANSAKSI. MEMBUAT AGAK SEDIKIT BERKURANG RASA DIBANDINGKAN PERUSAHAAN LAIN YANG SUDAH SEMAKIN MAJU NAMUN TIKET. COM MASIH JALAN DI TEMPAT SAJA TIDAK MEMPERMUDAH USER DALAM PEMBAYARAN",""
"Muhammad Gibran Assegaf","Fitur kurang lengkap",""
